Opportunity Name,Research Initiative,Stage,Sub-Stage,Level 2 Government,Bridge Name,GPS (Latitude),GPS (Longitude),Level 1 Government,Level 3 Government,Level 4 Government,Individuals Directly Served,Bridge Type,Span (m),Ground Breaking Date,Close Date,CaseSafeID,Project Code,Randomized Order
Rwanda - Kugasumo - 1013377,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyabihu,Kugasumo,-1.62689,29.48884,Western Province,Jenda-Karago,Nyirakigugu-Cyamabuye,2714,Suspended Bridge,90,1/5/23,7/18/23,006f100000d7Gs3AAE,1013377,5
Rwanda - Ruyebe - 1013392,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyabihu,Ruyebe,-1.65549,29.51862,Western Province,Karago,Karengere-Kadahenda,2624,Suspended Bridge,48,10/27/23,12/22/23,006f100000d7GtGAAU,1013392,11
Rwanda - Rwasa - 1013422,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamagabe,Rwasa,-2.41763333,29.555675,Southern Province,Kibumbwe-Kibirizi,Bwenda-Bugarura,3582,Suspended Bridge,70,8/9/21,11/5/21,006f100000d7JDHAA2,1013422,11
Rwanda - Karuhanga - 1013455,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Ngororero,Karuhanga,-2.00323,29.5765,Western Province,Ndaro sector,Gasharu village ( Bitabage cell ) - Kimirehe village ( kibanda cell ),3935,Suspension Bridge,81,10/13/22,1/19/23,006f100000d7Pr1AAE,1013455,16
Rwanda - Rugeshi - 1013459,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Ngororero,Rugeshi,-1.96038,29.54036,Western Province,Bwira - Sovu,Rugeshi village ( GASHUBI cell ) - Ruganda village ( Kanyana cell ),3678,Suspended Bridge,110,2/18/21,5/31/21,006f100000d7PrLAAU,1013459,6
Rwanda - Gasasa - 1013460,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Ngororero,Gasasa,-1.95373,29.54198,Western Province,Bwira - Sovu,Gasasa village ( GASHUBI cell ) - Ruganda village ( Kanyana cell ),3374,Suspended Bridge,45,2/22/21,5/19/21,006f100000d7PrQAAU,1013460,4
Rwanda - Nyabiyonga - 1013461,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Ngororero,Nyabiyonga,-1.94216,29.55835,Western Province,Bwira - Sovu,Rutembo village ( Bungwe cell )- gisiza village ( rutovu cell ),4968,Suspended Bridge,70,9/6/21,12/15/21,006f100000d7PrVAAU,1013461,9
Rwanda - Nyabizi ya 1 - 1013496,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Burera,Nyabizi ya 1,-1.33001,29.82555,Northern Province,Kinyababa,Rutovu,1854,Suspended Bridge,60,6/10/22,10/27/22,006f100000d7Q9rAAE,1013496,2
Rwanda - Munanira - 1013583,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamagabe,Munanira,-2.396316,29.577776,Southern Province,Kibirizi-Mbazi,Karambo-Ngambe,4717,Suspended Bridge,62,2/14/22,10/7/22,006f100000d7bIlAAI,1013583,16
Rwanda - Bahimba - 1013626,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rutsiro,Bahimba,-1.7628,29.30777,Western Province,Kivumu,Kabere/burambo,1428,Suspended Bridge,64,10/24/22,1/27/23,006f100000d7iQBAAY,1013626,9
Rwanda - Bukungu - 1013639,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rutsiro,Bukungu,-1.80495,29.30452,Western Province,Kigeyo,Buhindure,6052,Suspended Bridge,48,10/17/22,1/23/23,006f100000d7iU8AAI,1013639,8
Rwanda - Musange kukibuga - 1013670,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Gakenke,Musange kukibuga,-1.63647,29.78962,Northern Province,Nemba,Mucaca/ngahinga,1812,Suspension Bridge,105,1/16/23,6/2/23,006f100000d7ibTAAQ,1013670,14
Rwanda - Kwiterambere - 1013678,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Gakenke,Kwiterambere,-1.66344,29.83439,Northern Province,Gashenyi,Taba/bushita,1530,Suspension Bridge,76,3/25/21,6/30/21,006f100000d7icgAAA,1013678,4
Rwanda - Kirwa - 1013683,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Gakenke,Kirwa,-1.61152,29.70026,Northern Province,Busengo,Butereri/kirwa,1240,Suspended Bridge,136,1/19/23,6/2/23,006f100000d7ieSAAQ,1013683,11
Rwanda - Kigandi - 1013692,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamasheke,Kigandi,-2.326002,29.165331,Western Province,Macuba ~ kanjongo,Vugangoma,2825,Suspended Bridge,64,6/15/21,9/21/21,006f100000d7ix5AAA,1013692,2
Rwanda - Nonwe - 1013717,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamasheke,Nonwe,-2.224749,29.291024,Western Province,Mahembe,Gisoke,2133,Suspended Bridge,68,9/23/22,12/2/22,006f100000d7jEVAAY,1013717,15
Rwanda - Mugaseke - 1013721,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamasheke,Mugaseke,-2.216938,29.283485,Western Province,Mahembe,Gisoke,2412,Suspended Bridge,65,11/15/21,2/15/22,006f100000d7jEuAAI,1013721,10
Rwanda - Rusumo - 1013737,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rulindo,Rusumo,-1.65413,30.01517,Northern Province,Kisaro_Miyove,Sayo_Gakenke,4340,Suspended Bridge,59,8/21/23,11/17/23,006f100000d7jMtAAI,1013737,12
Rwanda - Kigusa - 1013761,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyabihu,Kigusa,-1.7246,29.54478,Western Province,Mulinga-Jomba,Nkomane,3494,Suspended Bridge,75,1/12/23,3/24/23,006f100000d7kslAAA,1013761,6
Rwanda - Kabuga - 1013762,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rulindo,Kabuga,-1.8204,30.01401,Northern Province,Murambi-Ngoma,Mvuzo-Munyarwanda,1462,Suspended Bridge,40,7/11/22,12/10/22,006f100000d7ktAAAQ,1013762,4
Rwanda - Nyarusange - 1013792,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Gakenke,Nyarusange,-1.72848,29.76589,Northern Province,Mataba,Nyundo/kabuyora,2740,Suspended Bridge,104,1/23/23,6/30/23,006f100000d7wv0AAA,1013792,9
Rwanda - Kagarama - 1013867,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Karongi,Kagarama,-2.13838,29.33504,Western Province,Mubuga sector,Kagarama village ( kagabiro cell )- jurwe village ( ryaruhanga cell ),3886,Suspended Bridge,70,11/22/21,2/18/22,006f100000d8890AAA,1013867,6
Rwanda - Karambo - 1013886,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamasheke,Karambo,-2.221268,29.256019,Western Province,Mahembe~ Gihombo,Nyagatare~ kibingo,7086,Suspended Bridge,86,10/10/22,4/26/23,006f100000d88DlAAI,1013886,16
Rwanda - Gasihe - 1013894,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamasheke,Gasihe,-2.360876,29.157374,Western Province,Kanjongo,Raro,2762,Suspended Bridge,92,11/15/21,2/23/22,006f100000d88IbAAI,1013894,5
Rwanda - Nyagisasa - 1013895,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamasheke,Nyagisasa,-2.343073,29.140422,Western Province,Kanjongo,kibogora~Raro,7124,Suspension Bridge,114,5/31/21,10/4/21,006f100000d88IgAAI,1013895,3
Rwanda - Gisiza - 1013898,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamasheke,Gisiza,-2.353335,29.147336,Western Province,Kanjongo,Raro~ Gako,3100,Suspended Bridge,105,10/17/22,1/31/23,006f100000d88KhAAI,1013898,14
Rwanda - Kamatsira - 1013899,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamasheke,Kamatsira,-2.407594,29.163424,Western Province,Rangiro,Gakenke ~ Murambi,3221,Suspended Bridge,57,11/10/21,2/21/22,006f100000d88KmAAI,1013899,6
Rwanda - Nyarusange - 1014269,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyarugenge,Nyarusange,-1.89484,29.99693,Kigali,Kanyinya,Taba,4378,Suspended Bridge,132,11/6/20,3/4/21,006f100000eekYUAAY,1014269,3
Rwanda - Mpombori - 1014283,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Kamonyi,Mpombori,-2.0851,29.80891,Southern Province,Nyarubaka,Gitare/mugereke,1486,Suspended Bridge,44,11/8/23,12/22/23,006f100000eekgRAAQ,1014283,5
Rwanda - Bunyonga 1 - 1014322,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Kamonyi,Bunyonga 1,-1.934919,29.819397,Southern Province,Karama,Bunyonga,2423,Suspended Bridge,54,5/16/22,9/23/22,006f100000eesd5AAA,1014322,2
Rwanda - Rushikiri - 1014330,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Kamonyi,Rushikiri,-1.937733,29.9489,Southern Province,Rukoma,Murehe,6120,Suspended Bridge,53,11/15/23,12/22/23,006f100000eesiZAAQ,1014330,7
Rwanda - Muza - 1014335,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Kamonyi,Muza,-1.926209,29.8142,Southern Province,Kayenzi,Kayonza,10150,Suspended Bridge,68,7/2/22,10/21/22,006f100000eessFAAQ,1014335,3
Rwanda - Nyakabande-Bitaba - 1015561,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Karongi,Nyakabande-Bitaba,-2.11713,29.31672,Western Province,Mubuga,Kagabiro-Ryaruhanga,1945,Hybrid Suspension Bridge,97,7/2/20,6/18/21,006f100000fHAHXAA4,1015561,3
Rwanda - Kabutimbo - 1015693,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Gakenke,Kabutimbo,-1.621187,29.660569,Northern Province,Rusasa,Rurembo - kamonyi,1280,Suspended Bridge,55,3/29/21,6/28/21,006f100000fHqCoAAK,1015693,2
Rwanda - Rwunga - 1013465,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Cancelled,,Musanze,Rwunga,-1.492419,29.573354,Northern Province,Musanze~shingiro~kimonyi,Nyarubuye~rwambogo~kibuguzo,1035,Suspended Bridge,55,9/1/23,1/30/24,006f100000d7Q52AAE,1013465,2
Rwanda - Gakoyi - 1013654,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Cancelled,,Rutsiro,Gakoyi,-1.85437,29.28597,Western Province,Bushonyi,Kaguriro,660,,,,12/31/24,006f100000d7iXbAAI,1013654,4
Rwanda - Kucyarwamo - 1013777,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Cancelled,,Karongi,Kucyarwamo,-2.06358,29.39742,Western Province,Rubengera sector,Kagarama village ( Kibirizi cell ) - Kabeza village ( Ruragwe cell ),2524,Hybrid Suspension Bridge,89,,12/30/24,006f100000d7wXxAAI,1013777,7
Rwanda - Kinamba - 1013378,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rejected,,Nyabihu,Kinamba,-1.65625,29.42217,Western Province,Bigogwe,Rega,2133,Other,,10/31/23,10/12/23,006f100000d7Gs8AAE,1013378,10
Rwanda - Muhazi - 1014310,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rejected,Technical,Kamonyi,Muhazi,-1.873616,29.852021,Southern Province,Kayenzi,Kirwa,25000,,,2/6/24,5/11/24,006f100000eeqqSAAQ,1014310,6
Rwanda - Buranga - 1007356,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Gakenke,Buranga,-1.639722,29.784722,Northern Province,Nemba,,2958,,,,12/31/18,006f100000a86DIAAY,1007356,8
Rwanda - Kibirira - 1007433,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Ngororero,Kibirira,-1.9307222,29.6403611,Western Province,Gatumba,,500,,7,,11/5/18,006f100000a86EXAAY,1007433,1
Rwanda - Gitinda - 1007453,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Nyabihu,Gitinda,-1.70215,29.51309,Western Province,Rambura-Mulinga,Kibisabo_Rwantobo,1051,,,,10/17/22,006f100000a86ErAAI,1007453,7
Rwanda - Bisheke - 1007508,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Nyamasheke,Bisheke,-2.280762,29.206295,Western Province,Macuba - Kirinda,Mutongo~ Muhororo,2338,,,,12/31/18,006f100000a86FkAAI,1007508,13
Rwanda - Mweya - 1007522,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Nyanza,Mweya,-2.32999,29.64216,Southern Province,Cyabakamyi-Nyagisozi,Mweya,2992,,,,12/30/24,006f100000a86FyAAI,1007522,8
Rwanda - Ntora - 1007680,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Gasabo,Ntora,-1.916403,30.04942,Kigali,Gatsata Gisozi,Nyamugali-Ruhango,6000,,400,,11/28/18,006f100000a86IWAAY,1007680,1
Rwanda - Ruhabwa - 1014009,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Nyamasheke,Ruhabwa,-2.515733,29.04382,Western Province,Karengera,Mwezi,9384,,,,11/5/18,006f100000d1f2JAAQ,1014009,11
Rwanda - Rudehero - 1014134,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Nyamasheke,Rudehero,-2.37845,29.1393,Western Province,Rangiro-Kagano,Jurwe-Gako,9782,,,,12/31/18,006f100000d1hH3AAI,1014134,17
Rwanda - Matyazo - 1013369,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Nyabihu,Matyazo,-1.64694,29.47735,Western Province,Karago,Busoro_Cyamabuye,4288,,,,12/31/18,006f100000d7GrPAAU,1013369,2
Rwanda - Biseke - 1013374,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,,Nyabihu,Biseke,-1.66137,29.50069,Western Province,Karago,Gihirwa,8766,,,,10/17/22,006f100000d7GroAAE,1013374,8
Rwanda - Kivomo - 1013451,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Ngororero,Kivomo,-2.02839,29.57274,Western Province,Nyange sector,Nyagatama village ( vuganyana cell )-Mbobo village ( vuganyana cell ),3549,,,,12/31/18,006f100000d7PqDAAU,1013451,8
Rwanda - Rukombe - 1013452,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Ngororero,Rukombe,-1.98911,29.60512,Western Province,Ndaro sector,Rutonde village ( Bijyojyo cell ) - Masoro village ( Kabageshi cell ),2601,,,,12/31/18,006f100000d7PqSAAU,1013452,15
Rwanda - Cyahafi - 1013456,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Ngororero,Cyahafi,-1.92556,29.60749,Western Province,Bwira sector,Cyahafi village ( Cyahafi cell ) - Kabirizi village ( ruhindage cell ),3620,,,,12/31/18,006f100000d7Pr6AAE,1013456,5
Rwanda - Nyanza - 1013539,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Ngororero,Nyanza,-1.74082,29.53777,Western Province,Kabaya ( Ngororero ) - Muringa ( Nyabihu ),Nyanza village - Kamajanga village,4066,,,,12/31/18,006f100000d7ayMAAQ,1013539,12
Rwanda - Gitaba - 1013547,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Ngororero,Gitaba,-1.77412,29.57416,Western Province,Kabaya,Bukonde village ( Nyenyeri cell ) - Gitaba village ( Busunzu cell ),4606,,,,12/31/18,006f100000d7azKAAQ,1013547,11
Rwanda - Peru - 1013563,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Nyamasheke,Peru,-2.304747,29.219334,Western Province,Macuba,Gatare,2955,,,,12/14/18,006f100000d7b66AAA,1013563,7
Rwanda - Gacumbi - 1013567,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Nyamasheke,Gacumbi,-2.26295,29.189909,Western Province,Kirimbi,Muhororo,1888,Suspension Bridge,46,,7/2/20,006f100000d7b6QAAQ,1013567,1
Rwanda - Nyakabingo - 1013568,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Nyamasheke,Nyakabingo,-2.279466,29.199971,Western Province,Kirimbi,Muhororo,1838,,,,7/2/20,006f100000d7b6VAAQ,1013568,4
Rwanda - Nyabirondo - 1014264,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Nyarugenge,Nyabirondo,-2.05434,30.04781,Kigali,Mageragere,Nyarurenzi,5872,,,,12/31/18,006f100000eekXlAAI,1014264,2
Rwanda - Mpanga - 1014265,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Nyarugenge,Mpanga,-2.0638,30.0279,Kigali,Mageragere,Runzenze,12213,,,,12/31/18,006f100000eekXqAAI,1014265,1
Rwanda - Nyarubuye - 1014267,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Nyarugenge,Nyarubuye,-2.04925,29.98573,Kigali,Mageragere,Kivumu,3484,,,,12/31/18,006f100000eekYFAAY,1014267,4
Rwanda - Karukina - 1014268,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Nyarugenge,Karukina,-2.01861,30.0085,Kigali,Mageragere,Kankuba,3180,,,,12/31/18,006f100000eekYPAAY,1014268,5
Rwanda - Kabuga (Fukwe) - 1014329,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rejected,Technical,Kamonyi,Kabuga (Fukwe),-1.872181,29.92942,Southern Province,Ngamba,Kabuga,6500,,,,12/31/18,006f100000eesiUAAQ,1014329,1
