Opportunity Name,Research Initiative,Stage,Sub-Stage,Level 2 Government,Bridge Name,GPS (Latitude),GPS (Longitude),Level 1 Government,Level 3 Government,Level 4 Government,Individuals Directly Served,Bridge Type,Span (m),Ground Breaking Date,Close Date,CaseSafeID,Project Code,Randomized Order
Rwanda - Bukomeye - Taba - 1007380,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,,Bukomeye - Taba,-2.66052,29.74644,,Mukura,Rango A,3581,Suspension Bridge,116,7/18/22,10/17/22,006f100000a86DgAAI,1007380,2
Rwanda - Karama - 1007400,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Muhanga,Karama,-2.07322294,29.71500053,Southern Province,Muhanga,Between Karama Village and Nyamitanga Village,1820,Suspension Bridge,52,10/24/20,2/12/21,006f100000a86E0AAI,1007400,7
Rwanda - Murambi - 1007424,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Ngororero,Murambi,-1.85605607,29.62150397,Western Province,Ngororero -Kageyo,Murambi,1000,Suspended Bridge,78,9/6/21,12/16/21,006f100000a86EOAAY,1007424,14
Rwanda - Muhembe - 1007425,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Ngororero,Muhembe,-1.82487,29.61382,Western Province,Hindiro -Kageyo,Between Gaseke vilage from Kageyo and Nyagasozi village from Hindiro,2102,Suspended Bridge,92,2/18/21,5/19/21,006f100000a86EPAAY,1007425,7
Rwanda - Mucyabahinja - 1007426,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Ngororero,Mucyabahinja,-1.819809,29.6066111,Western Province,Hindiro-Kageyo,Karambo-Nyagasozi and Kiribata- Giseke,3587,Suspended Bridge,86,11/15/21,3/4/22,006f100000a86EQAAY,1007426,10
Rwanda - Mukamira - 1007439,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyabihu,Mukamira,-1.6198,29.50244,Western Province,Mukamira,Jaba_Cyamabuye,3006,Suspended Bridge,38,11/15/22,5/18/23,006f100000a86EdAAI,1007439,4
Rwanda - Kamiro - 1007444,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyabihu,Kamiro,-1.681,29.50024,Western Province,Rambura,Rugamba_Kibisabo,3805,Suspended Bridge,58,2/7/22,6/23/22,006f100000a86EiAAI,1007444,3
Rwanda - Mujerenge - 1007463,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamagabe,Mujerenge,-2.45195667,29.427665,Southern Province,Buruhukiro,Bushigishigi,995,Suspended Bridge,70,8/9/21,11/22/21,006f100000a86F1AAI,1007463,14
Rwanda - Rwangambibi - 1007465,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamagabe,Rwangambibi,-2.345116,29.43387,Southern Province,Gatare,Shyeru,3475,Suspended Bridge,83,8/9/21,11/12/21,006f100000a86F3AAI,1007465,12
Rwanda - Mugote - 1007477,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamagabe,Mugote,-2.4477333,29.41455333,Southern Province,Buruhukiro,Kizimyamuriro,1720,Suspended Bridge,60,8/9/21,11/9/21,006f100000a86FFAAY,1007477,13
Rwanda - Mutiwingoma - 1007481,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamagabe,Mutiwingoma,-2.364085,29.553359,Southern Province,Mbazi-Kaduha,Mutiwingoma,2601,Suspension Bridge,120,7/7/20,11/6/20,006f100000a86FJAAY,1007481,8
Rwanda - Nyakabuye - Nkomane - 1007495,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamagabe,Nyakabuye - Nkomane,-2.233574,29.575366,Southern Province,Musange,Gasave,2790,Suspension Bridge,78,7/7/20,10/23/20,006f100000a86FXAAY,1007495,6
Rwanda - Kibiraro - 1007499,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamagabe,Kibiraro,-2.294523,29.55516,Southern Province,Kaduha,Murambi,2492,Suspended Bridge,80,2/14/22,6/24/22,006f100000a86FbAAI,1007499,17
Rwanda - Cyarera - 1007528,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyanza,Cyarera,-2.29248,29.61608,Southern Province,Cyabakamyi-Musange,Karama - Gasagara,1967,Suspension Bridge,150,7/11/22,10/14/22,006f100000a86G4AAI,1007528,1
Rwanda - Gashasho - 1007600,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rubavu,Gashasho,-1.71333,29.3925,Western Province,Kanama,Karambo/ndongoshoru,1013,Suspended Bridge,62,8/15/22,12/14/22,006f100000a86HEAAY,1007600,6
Rwanda - Muduha - 1007617,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rulindo,Muduha,-1.72441,30.0589,Northern Province,Burega-Buyoga,Rutangamundu-Gahororo,800,Suspension Bridge,52,7/11/22,10/28/22,006f100000a86HVAAY,1007617,5
Rwanda - Nyarurama - 1007630,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rulindo,Nyarurama,-1.75497,30.08422,Northern Province,Ntarabana-Mutete,Nyarurama-Kagarama,2556,Suspended Bridge,103,8/1/23,10/22/23,006f100000a86HiAAI,1007630,9
Rwanda - Gihinga - 1007637,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rulindo,Gihinga,-1.75328,30.01969,Northern Province,Cyinzuzi,KIDOGO,4230,Suspended Bridge,110,8/8/23,11/3/23,006f100000a86HpAAI,1007637,13
Rwanda - Mitabi - 1007647,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rulindo,Mitabi,-1.74817,30.03081,Northern Province,Burega,Karengeri,2832,Suspended Bridge,50,8/1/23,10/29/23,006f100000a86HzAAI,1007647,7
Rwanda - Gitovu - 1007649,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rulindo,Gitovu,-1.62269,29.89036,Northern Province,Base-Cyungo,Rwamahwa/ Cyungo,2155,Suspended Bridge,75,7/11/22,10/8/22,006f100000a86I1AAI,1007649,2
Rwanda - Rutanzogera - 1007672,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rutsiro,Rutanzogera,-1.95555,29.95166,Western Province,Rusebeya,Ruronde-gashubi,3437,Suspended Bridge,82,10/17/22,5/5/23,006f100000a86IOAAY,1007672,11
Rwanda - Nyagakizi - 1009714,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Gicumbi,Nyagakizi,-1.53328,30.1727,Northern Province,Bwisige,Gihuke-Nyagakizi,1216,Suspension Bridge,77,5/23/22,8/29/22,006f100000bMK1XAAW,1009714,3
Rwanda - Gihororo - 1010427,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Ruhango,Gihororo,-2.12117,29.6109,Southern Province,kinihira,Bweramvura,1408,Suspension Bridge,120,4/24/23,6/26/23,006f100000bh0JKAAY,1010427,1
Rwanda - Karama - Muhengeri - 1010917,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Gicumbi,Karama - Muhengeri,-1.66992,30.05585,Northern Province,Mutete,Muhengeri,1619,Suspended Bridge,70,5/23/22,8/29/22,006f100000c5ivZAAQ,1010917,1
Rwanda - Ruhondo - 1010919,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Gicumbi,Ruhondo,-1.693048,30.06977,Northern Province,Mutete,Mutandi,1177,Suspension Bridge,92,8/1/23,10/13/23,006f100000c5jCGAAY,1010919,
