Project Code,Bridge Name,Stage,Level 2 Government,Bridge Type,Span (m),,,Ground Breaking Date,Close Date,Interim Invoice Submitted,Interim Invoice Submittal Date,Interim Invoice Link,Interim Report Link,Interim Payment Received,Interim Payment Receipt Date,Interim Payment Receipt Link,Final Invoice Submitted,Final Invoice Submittal Date,Final Invoice Link,Final Payment Received,Final Payment Receipt Date,Final Payment Receipt Link,Certificate of Completion Issue Date,BOQ Grand Total - USD,Project Budget - USD,Project Actuals to Date - USD,BOQ Total - Gov't - USD,Total Amount Invoiced - USD,Total Amount Received - USD,Government Partner Balance - USD,Pre-Bridge Crossing Photo URL,Completed Bridge Photo URL,Handover Photo URL,Link to Completed Contract or MOU,Certificate of Completion Link,Power of One,Link to Accounts Received Certificate,Link to Budget to Actuals Report,Government Reimbursable,latitude,longitude
1009445,Rukurazo,Complete,Muhanga,Suspension Bridge,49,,,9/9/19,3/12/20,1,11/13/19,https://bridges.box.com/s/3jzy3wml9144hccsyo6imsz9cojwgsxd,https://bridges.box.com/s/uuoz4tbs24wx88z1pdgi06jc5dzhozcf,1,11/29/19,https://bridges.box.com/s/xx0y7l4p26m47e438e6jfejr7c73nzy7,1,6/15/20,https://bridges.box.com/s/hoeb6th5qs6dy0mmrqq05qnwj6fpeizw,0,5/11/22,https://bridges.box.com/s/gyztpkhk53i7swmxn4ght20awkuyk9ox,11/22/19,96179.48,,39310.43,32855.66,31339.14,24076.99,7262.15,https://www.flickr.com/photos/bridgestoprosperity/49199058646/in/album-72157711046357258/,https://www.flickr.com/photos/bridgestoprosperity/49651799606/in/photolist-2iDyshQ-2iDysbs-2iDvGvT-2iDvGu5-2iDysd6-2iDzRnm-2iDzRoZ-2iDysav-2iDzRnX-2iDzRn6-2iDzRqN/,https://www.flickr.com/photos/bridgestoprosperity/49391077686/in/album-72157711046357258/,https://bridges.box.com/s/cnf6eadautiz1f6nprzx3v9zrxwog4kf,https://bridges.box.com/s/nfkvamocv9wk5hevth10oarymashopcc,1,,https://bridges.box.com/s/4gf7z0icnjrulb5i0vw5g722gmn8bzri,Yes,-2.115072,29.700843
1012813,Kiruri,Complete,Rutsiro,Suspended Bridge,50,,,9/30/19,3/2/20,1,3/5/20,https://bridges.box.com/s/yc2f9rdqbo3x5xgyg8moipboe8zo71va,https://bridges.box.com/s/a3xpno2ca2qlptiss2imvhvru5ghroya,1,3/27/20,https://bridges.box.com/s/oq0ca4etpkrc1yu0ymqykr1wnxqjsk2j,1,6/22/20,https://bridges.box.com/s/upwz0ot5swsba0k3hc3xqo29qezrsr00,1,7/2/20,https://bridges.box.com/s/y8i2ov9ylpnu1d08l696k4v36x4k4pvn,3/19/20,81681.32,,30535.1,33780.22,24660.45,20232.67,4427.79,https://www.flickr.com/photos/bridgestoprosperity/49042363676/in/album-72157711719811293/,https://www.flickr.com/photos/bridgestoprosperity/49729676293/in/album-72157711719811293/,https://www.flickr.com/photos/bridgestoprosperity/49237194152/in/album-72157711719811293/,https://bridges.box.com/s/zi5i3bg2hghqend8mcsobkcbr1k4viua,https://bridges.box.com/s/hlfscjifnd40nvlg0uz1tcvxnh0m4hka,1,https://bridges.box.com/s/lrexfffy96zjudjpudypil06ztogjcjr,https://bridges.box.com/s/v33monikel4nkwgot8luzkii5xup6xgk,Yes,-1.985833,29.40916
1012817,Gitikirema-kigarama,Complete,Nyamagabe,Suspended Bridge,68,,,11/25/19,3/12/20,1,3/19/20,https://bridges.box.com/s/fo4i9brocd5lsx0ioz7ot47368bbpcg8,https://bridges.box.com/s/7l89utma9bvbg1ph64r73v09xd2q07xs,1,4/1/20,https://bridges.box.com/s/b6turtc3ptjsxpkgd3y173fpce8albl1,1,6/24/20,https://bridges.box.com/s/5vw7sw2vhgq7lr553s6ln1vt03dw7ooz,1,7/2/20,https://bridges.box.com/s/l4ic9tjz31otsma0xmz9y5vf91ac1uix,3/6/20,94870.93,,35966.59,36556.77,32483.97,32348.45,135.52,https://www.flickr.com/photos/bridgestoprosperity/49276830833/in/album-72157712367690322/,https://www.flickr.com/photos/bridgestoprosperity/49729748518/,https://www.flickr.com/photos/bridgestoprosperity/49717276186/in/album-72157712367690322/,https://bridges.box.com/s/ykiinqsh5nsp548d4wfdcfuejffw1736,https://bridges.box.com/s/e3e7ye3ahcmzoyxpioaa11316t8mlxu3,1,https://bridges.box.com/s/f53b478o0za8zlvhyvhs7ornwcflppfo,https://bridges.box.com/s/c19u65ba3oxp5mhk51x3yfde0wwuq5ec,Yes,-2.304674,29.472585
1012953,Gashyushya,Complete,Muhanga,Suspension Bridge,42,,,7/29/19,2/21/20,1,9/11/19,https://bridges.box.com/s/pusxr6s2o8ua71f8js6clbxa20mk2gy2,https://bridges.box.com/s/jrw5tq0wx6p6lhoe3lcy0fcxue2wrdxi,1,10/9/19,https://bridges.box.com/s/y6e0ncgw82n80xvp0zl6micsotz395p6,1,4/28/20,https://bridges.box.com/s/w90fctn6bltx022ityaf629estlfhc9x,1,5/8/20,https://bridges.box.com/s/saeyjtrh9is5lxcdrcgkvwjmbk29aboe,12/19/19,93419.61,,35359.12,31869.99,30346.63,27076.18,3270.44,https://www.flickr.com/photos/bridgestoprosperity/48786998051/in/album-72157711041916097/,https://www.flickr.com/photos/bridgestoprosperity/49730236613/in/photolist-2iLxcRc-2iLBEAL-2iLusLD/,https://www.flickr.com/photos/bridgestoprosperity/50494666041/in/album-72157711041916097/,https://bridges.box.com/s/bj2r4xzjnevc1ln5lgsuqkiox4pi7mw1,https://bridges.box.com/s/jhhiaj4s6j4pzs4p3mlosbzl2f4xmrf1,1,https://bridges.box.com/s/p0vsoabytl3jog219oxvc5s5ech7hyj6,https://bridges.box.com/s/jfmt2nfteji89f60ll4mh7bnsvpku8or,Yes,-2.01211492,29.76212259
1012986,Kirumbi,Complete,Rutsiro,Suspension Bridge,56,,,9/9/19,5/27/20,1,3/5/20,https://bridges.box.com/s/s4rk63r4l1ams5x9bnht59x1vjv83dmd,https://bridges.box.com/s/i8pdvoflkbqf4v67rayn0sj21xft4tit,1,4/17/20,https://bridges.box.com/s/2b2hzyqxvncawevboo2luidvobidkpwd,1,8/10/20,https://bridges.box.com/s/clag3ft553ny1ukk6ydnparyyqwmlgff,1,10/8/20,https://bridges.box.com/s/pr7b3mqv7kx2ddg6udn38t48wu16928p,7/8/20,98923.08,,58467.12,41681.32,38868.91,32052.23,6816.68,https://www.flickr.com/photos/bridgestoprosperity/49277336066/in/photolist-2i5tedw-hHNU2W,https://www.flickr.com/photos/bridgestoprosperity/49391347383/in/album-72157711084230467/,https://www.flickr.com/photos/bridgestoprosperity/49391367493/in/album-72157711084230467/,https://bridges.box.com/s/svd045bl42ypi5vrppsor9da2r12vaps,https://bridges.box.com/s/gsrkmmh7emo0p1qbft4bkiu6mpf1w2sz,1,https://bridges.box.com/s/hhh23qb5y7ykbpdyyxd3obktbtgikx66,https://bridges.box.com/s/b6nj85v2i3s27h24ju4cle49w3y5git3,Yes,-1.94833,29.493611
1012997,Uwumugeti-Kigusa,Complete,Nyamagabe,Suspended Bridge,55,,,6/20/20,9/22/20,1,8/25/20,https://bridges.box.com/s/k2i27tligs5b8zs9apwjlmzr0wg09rhc,https://bridges.box.com/s/fh4pfonsv6peiagu6zcls9082x6a3k27,1,11/3/20,https://bridges.box.com/s/s9ipjtc9qp3aeu5kykiwp471dqv4g2ag,1,11/20/20,https://bridges.box.com/s/fqocyloycx689i7qvrhxa7l1l2jn6c3h,1,3/1/21,https://bridges.box.com/s/nm2l2p7qxaj1uaz5wthhnarb374iwa8j,10/22/20,86724.18,,10834.38,31289.19,28980.84,28087.56,893.28,https://www.flickr.com/photos/bridgestoprosperity/50279862427/in/album-72157715087855338/,https://www.flickr.com/photos/bridgestoprosperity/50494118488/in/album-72157715087855338/,https://www.flickr.com/photos/bridgestoprosperity/50494974142/in/album-72157715087855338/,https://bridges.box.com/s/qb5vfsh3eorupni1qpna2lcq8p8nwky6,https://bridges.box.com/s/wpxu3eunjjkarn5y98zoxx6rsa3ue9m3,1,https://bridges.box.com/s/h9k4wkpdfv1aqi5udfmr75zemz3ru5ph,https://bridges.box.com/s/b88cwhnuzppvrhbvt2c6341b2m551099,Yes,-2.540715,29.503838
1013218,Rweru,Complete,Nyamagabe,Suspension Bridge,46,,,11/25/19,3/6/20,1,3/19/20,https://bridges.box.com/s/byzfu49cbfgsp2qrp2rz7me51jfufu10,https://bridges.box.com/s/w911bmid7kkrcri2ylae963tfq7gzc70,1,4/1/20,https://bridges.box.com/s/7vgbd6ex583d0meqy8g1vdbz6gcq1k9s,1,6/24/20,https://bridges.box.com/s/wozvu29eihz5vsa4lbjwcfdj1k2fm3ld,1,7/2/20,https://bridges.box.com/s/9kmw4g0q4okisw8msh6siyo62rkd8u5f,3/6/20,96223.27,,36205.69,33143.21,29879.87,29737.33,142.53,https://www.flickr.com/photos/bridgestoprosperity/49379432931/in/album-72157712652736878/,https://www.flickr.com/photos/bridgestoprosperity/49730589158/in/album-72157712652736878/,https://www.flickr.com/photos/bridgestoprosperity/49731136431/in/album-72157712652736878,https://bridges.box.com/s/0xgcm21utknv1xo7diwhwp3kyjt23yr2,https://bridges.box.com/s/kg1r060bkt3nks3xf2lhbo0nzzn5zbvc,1,https://bridges.box.com/s/j1pclwuiogmu9neklj2fexpws34hkqnt,https://bridges.box.com/s/4t8rl0dqchnaxz45hbzjqbpb6ayh2pyr,Yes,-2.52565,29.568185
1013351,Kiciro,Complete,Muhanga,Suspension Bridge,33,,,8/19/19,5/29/20,1,10/4/19,https://bridges.box.com/s/0y4p5bbfmbs5hmvvnwtwq4fnibi5orm7,https://bridges.box.com/s/go9ibrvune17bn44atwjnet2gmoczbre,1,10/9/19,https://bridges.box.com/s/b7egqutu0odrbm3jby69xe3rc8dyrb5m,1,6/17/20,https://bridges.box.com/s/kbxi0c3a1ktfcyc7mbqeqwau8wnrc52x,1,6/24/20,https://bridges.box.com/s/aiw5wkzbs0mmvqzhacevbpo4sphqjwp7,6/1/20,77331.28,,39345.36,29745.33,28369.32,23685.74,4683.58,https://www.flickr.com/photos/bridgestoprosperity/49390139248/in/album-72157711042969586/,https://www.flickr.com/photos/bridgestoprosperity/50045244336/in/dateposted-public/,https://www.flickr.com/photos/bridgestoprosperity/49382732183/in/album-72157711042969586/,https://bridges.box.com/s/7z2w5zgjtskqsaap6qilmd6yw0q2x4a2,https://bridges.box.com/s/e5yjdj9hfe1wa86z8rhbjnyzu7h507sc,1,https://bridges.box.com/s/xojjxa859t8rorvad7rzpybxz47jo849,https://bridges.box.com/s/ibuqyrjwrkcu7494g5u43dgp062zki1d,Yes,-2.05545934,29.64411986
1013457,Kivugiza,Complete,Ngororero,Suspended Bridge,55.7,,,10/29/19,5/29/20,1,2/13/20,https://bridges.box.com/s/lmsd172qri6ucqrkv6u3n2sgfrz9u88e,https://bridges.box.com/s/v53ud3mze0t5ga87citdwafud0tj5s1j,1,5/15/20,https://bridges.box.com/s/b01uu0i45pifyhy5pn5in9tvzb543603,1,6/17/20,https://bridges.box.com/s/gjsjb8za211v0zrdf8co6hqshe1012b2,1,6/30/20,https://bridges.box.com/s/jswka5ycwoavtg2e1asp2tilqlruuqy5,2/10/21,86244.32,,41961.38,35946.04,33895.68,28650.02,5245.66,https://www.flickr.com/photos/bridgestoprosperity/49391185271/in/album-72157712686144892/,https://www.flickr.com/photos/bridgestoprosperity/49951621687/in/album-72157712686144892/,https://www.flickr.com/photos/bridgestoprosperity/50040900596/in/album-72157712686144892,https://bridges.box.com/s/z5wr70o1jk2h3q6ruw4f6tdn6xbx0mju,https://bridges.box.com/s/olmikgmjlv5grqm1irvvje78t4ax51dc,1,https://bridges.box.com/s/2vm75q0j4sltj8ecodnhmybr2mf178y0,https://bridges.box.com/s/i0tfv9tz6m5tdrskmdu0wkns04zj4bog,Yes,-1.94955,29.56793
1013541,Buhito,Complete,Ngororero,Suspended Bridge,33,,,10/30/19,3/12/20,1,12/12/19,https://bridges.box.com/s/nafs1bukkctfp2eu04ienuhg7kkr9c9g,https://bridges.box.com/s/y8mnvr9sppjdiy3kswroaksl1bnvkuch,1,5/15/20,https://bridges.box.com/s/xa9tbz4mzwydto3kuuoiekccs9huc7k5,1,6/17/20,https://bridges.box.com/s/1rz79m0itjw7255aovy4wwa1ubvyjejl,1,6/30/20,https://bridges.box.com/s/36vf82odhgrdr1b4f49f0su5x7zm0zsg,2/10/21,74542.22,,28426.64,27755.66,22936.05,19263.98,3672.07,https://www.flickr.com/photos/bridgestoprosperity/49390960903/in/album-72157712686806667/,https://www.flickr.com/photos/bridgestoprosperity/49651317298/in/photolist-2iDvYNN-2iDvYNx-2iDA8E1-2iDvYMq-2iDyJuu-2iDyJw8-2izhmJ6-2iziFLi-2izhmGY-2izeMR3/,https://www.flickr.com/photos/bridgestoprosperity/51115876763/in/album-72157712686806667/,https://bridges.box.com/s/4q962ituoqoaagdtio5dahumumlbqiim,https://bridges.box.com/s/4njjqkas7j7fvqkj7onqb270c0n2ndun,1,https://bridges.box.com/s/kmamyi91pui8z6vgw33g0234hfjni6pj,https://bridges.box.com/s/g4r0lziwa4c902ol90lac5as83z0xwn4,Yes,-1.81792,29.54411
