Opportunity Name,Stage,Fiscal Year,Randomized Order,Research Initiative,Bridge Name,latitude,longitude,Level 1 Government,Level 2 Government,Level 3 Government,Level 4 Government,Sub-Stage,Individuals Directly Served,Bridge Type,Span (m),Ground Breaking Date,Close Date,CaseSafeID,Project Code
Rwanda - Muhembe - 1007425,Complete,2021,7,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Muhembe,-1.82487,29.61382,Western Province,Ngororero,Hindiro -Kageyo,Between Gaseke  vilage from Kageyo and Nyagasozi village from Hindiro,In Service,2102,Suspended Bridge,92,2/18/21,5/19/21,006f100000a86EPAAY,1007425
Rwanda - Mujerenge - 1007463,Complete,2022,14,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Mujerenge,-2.45195667,29.427665,Southern Province,Nyamagabe,Buruhukiro,Bushigishigi,In Service,995,Suspended Bridge,70,8/9/21,11/22/21,006f100000a86F1AAI,1007463
Rwanda - Mukaka - 1012800,Complete,2022,1,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Mukaka,-1.62147,29.96712,Northern Province,Rulindo,Rukozo-Miyove,Mbuye-Miyove,In Service,2456,Suspension Bridge,118,3/7/22,6/10/22,006f100000d6kr4AAA,1012800
Rwanda - Mukamira - 1007439,Under Construction,2023,4,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Mukamira,-1.6198,29.50244,Western Province,Nyabihu,Mukamira,Jaba_Cyamabuye,,3006,Suspended Bridge,38,11/15/22,1/26/23,006f100000a86EdAAI,1007439
Rwanda - Munanira - 1007556,Prospecting,2023,16,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Munanira,-2.735612,29.566853,Southern Province,Nyaruguru,Munini,,,1137,Suspended Bridge,115,1/21/23,4/18/23,006f100000a86GWAAY,1007556
Rwanda - Munanira - 1013583,Complete,2023,16,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Munanira,-2.396316,29.577776,Southern Province,Nyamagabe,Kibirizi-Mbazi,Karambo-Ngambe,In Service,4717,Suspended Bridge,62,2/14/22,10/7/22,006f100000d7bIlAAI,1013583
Rwanda - Munini I - 1014052,Complete,2022,5,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Munini I,-2.18836,29.37793,Western Province,Karongi,Rwankuba sector,Nyantwa village ( Bigugu cell ) - Byimana village ( Munini cell ),In Service,2697,Suspension Bridge,63,11/15/21,2/18/22,006f100000d1fPNAAY,1014052
Rwanda - Murambi - 1007424,Complete,2022,14,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Murambi,-1.856167,29.622611,Western Province,Ngororero,Ngororero -Kageyo,Murambi,In Service,1000,Suspended Bridge,78,9/6/21,12/16/21,006f100000a86EOAAY,1007424
Rwanda - Musange - 1013668,Identified,2025,15,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Musange,-1.61697,29.79172,Northern Province,Gakenke,Nemba,Mucaca/kiryamo,,1610,Suspension Bridge,59,,12/30/24,006f100000d7ib4AAA,1013668
Rwanda - Musange kukibuga - 1013670,Confirmed,2023,14,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Musange kukibuga,-1.63681,29.789747,Northern Province,Gakenke,Nemba,Mucaca/ngahinga,,1812,Suspension Bridge,105,2/16/23,5/13/23,006f100000d7ibTAAQ,1013670
Rwanda - Mushepari - 1012811,Complete,2023,2,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Mushepari,-1.696388,29.273055,Western Province,Rubavu,Rugerero,Rwaza/gateko-rwaza/mushoko,In Service,1900,Suspension Bridge,42,8/15/22,11/1/22,006f100000d6kvJAAQ,1012811
Rwanda - Mutiwingoma - 1007481,Complete,2021,8,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Mutiwingoma,-2.363733,29.55353,Southern Province,Nyamagabe,Mbazi-Kaduha,Mutiwingoma,In Service,2601,Suspension Bridge,120,7/7/20,11/6/20,006f100000a86FJAAY,1007481
Rwanda - Muturagara-Gatobo - 1013025,Identified,2025,9,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Muturagara-Gatobo,-1.67321,29.57457,Western Province,Nyabihu,Rurembo,Rwaza,Requested,4470,,,,12/31/24,006f100000d6yLHAAY,1013025
Rwanda - Muza - 1014335,Complete,2023,3,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Muza,-1.926511,29.814264,Southern Province,Kamonyi,Kayenzi,Kayonza,In Service,10150,Suspended Bridge,68,7/2/22,10/21/22,006f100000eessFAAQ,1014335
Rwanda - Mweya - 1007522,Rejected,2025,8,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Mweya,-2.32999,29.64216,Southern Province,Nyanza,Cyabakamyi-Nyagisozi,Mweya,Technical,2992,,,,12/30/24,006f100000a86FyAAI,1007522
Rwanda - Ngoma - 1012951,Complete,2021,6,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Ngoma,-2.04935967,29.70709763,Southern Province,Muhanga,Muhanga,Cyurutare village (Nyamirama cell )- Mataba Village (Kanyinya  cell),In Service,3542,Suspended Bridge,135,10/24/20,2/25/21,006f100000d6wBoAAI,1012951
Rwanda - Nkegete - 1012807,Prospecting,2023,17,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Nkegete,-1.91078,29.77379,Southern Province,Muhanga,Kabacuzi,Ngoma  Cell (Between Peru Village and Nkegete Village),,1441,Suspended Bridge,77,4/29/23,6/30/23,006f100000d6ksKAAQ,1012807
Rwanda - Nonwe - 1013717,Complete,2023,15,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Nonwe,-2.224749,29.291024,Western Province,Nyamasheke,Mahembe,Gisoke,In Service,2133,Suspended Bridge,68,9/23/22,12/2/22,006f100000d7jEVAAY,1013717
Rwanda - Ntaruka - 1007347,Complete,2021,1,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Ntaruka,-1.781111111,29.87916667,Northern Province,Gakenke,Muhondo-muyongwe,/musenyi/musenyi-/va/gikombe,In Service,1600,Suspended Bridge,44,3/29/21,6/28/21,006f100000a86D9AAI,1007347
Rwanda - Ntora - 1007680,Rejected,2019,1,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Ntora,-1.916403,30.04942,Kigali,Gasabo,Gatsata Gisozi,Nyamugali-Ruhango,Technical,6000,,400,,11/28/18,006f100000a86IWAAY,1007680
Rwanda - Nyabihunyira - 1014011,Complete,2022,12,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Nyabihunyira,-2.554196,29.043492,Western Province,Nyamasheke,Karengera~ nyakabuye,Higiro~ nyabintare,In Service,10588,Suspended Bridge,78,3/2/22,5/27/22,006f100000d1f2TAAQ,1014011
Rwanda - Nyabikeri - 1014031,Complete,2021,1,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Nyabikeri,-2.209275,29.47145,Western Province,Karongi,Ruganda,Nyabikeri(Nyabikeri-Gahororo),In Service,4001,Hybrid Suspension Bridge,90,7/2/20,6/18/21,006f100000d1fMsAAI,1014031
Rwanda - Nyabirondo - 1014264,Rejected,2019,2,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Nyabirondo,-2.05434,30.04781,Kigali,Nyarugenge,Mageragere,Nyarurenzi,Technical,5872,,,,12/31/18,006f100000eekXlAAI,1014264
Rwanda - Nyabiyonga - 1013461,Complete,2022,9,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Nyabiyonga,-1.94216,29.55835,Western Province,Ngororero,Bwira - Sovu,Rutembo village ( Bungwe  cell )- gisiza village ( rutovu  cell ),In Service,4968,Suspended Bridge,70,9/6/21,12/15/21,006f100000d7PrVAAU,1013461
Rwanda - Nyabizi ya 1 - 1013496,Complete,2023,2,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Nyabizi ya 1,-1.33001,29.82555,Northern Province,Burera,Kinyababa,Rutovu,In Service,1854,Suspended Bridge,60,6/10/22,10/28/22,006f100000d7Q9rAAE,1013496
Rwanda - Nyagakizi - 1009714,Complete,2022,3,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Nyagakizi,-1.533333,30.173611,Northern Province,Gicumbi,Bwisige,Gihuke-Nyagakizi,In Service,1216,Suspension Bridge,77,5/23/22,8/29/22,006f100000bMK1XAAW,1009714
Rwanda - Nyagisasa - 1013895,Complete,2022,3,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Nyagisasa,-2.343073,29.140422,Western Province,Nyamasheke,Kanjongo,kibogora~Raro,In Service,7124,Suspension Bridge,114,5/31/21,10/4/21,006f100000d88IgAAI,1013895
Rwanda - Nyakabande-Bitaba - 1015561,Complete,2021,3,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Nyakabande-Bitaba,-2.109525,29.314058,Western Province,Karongi,Mubuga,Kagabiro-Ryaruhanga,In Service,1945,Hybrid Suspension Bridge,97,7/2/20,6/18/21,006f100000fHAHXAA4,1015561
Rwanda - Nyakabingo - 1013568,Rejected,2020,4,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Nyakabingo,-2.279466,29.199971,Western Province,Nyamasheke,Kirimbi,Muhororo,Technical,1838,,,,7/2/20,006f100000d7b6VAAQ,1013568
Rwanda - Nyakabuye - Nkomane - 1007495,Complete,2021,6,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Nyakabuye - Nkomane,-2.233022,29.57513,Southern Province,Nyamagabe,Musange,Gasave,In Service,2790,Suspension Bridge,78,7/7/20,10/23/20,006f100000a86FXAAY,1007495
Rwanda - Nyanza - 1013539,Rejected,2019,12,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Nyanza,-1.74082,29.53777,Western Province,Ngororero,Kabaya  ( Ngororero ) - Muringa  ( Nyabihu ),Nyanza village - Kamajanga village,Technical,4066,,,,12/31/18,006f100000d7ayMAAQ,1013539
Rwanda - Nyarubuye - 1014267,Rejected,2019,4,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Nyarubuye,-2.04925,29.98573,Kigali,Nyarugenge,Mageragere,Kivumu,Technical,3484,,,,12/31/18,006f100000eekYFAAY,1014267
Rwanda - Nyarurama - 1007630,Prospecting,2023,9,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Nyarurama,-1.754738,30.084552,Northern Province,Rulindo,Ntarabana-Mutete,Nyarurama-Kagarama,,2556,Suspended Bridge,103,1/30/23,4/26/23,006f100000a86HiAAI,1007630
Rwanda - Nyarusange - 1013792,Confirmed,2023,9,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Nyarusange,-1.72848,29.76589,Northern Province,Gakenke,Mataba,Nyundo/kabuyora,,2740,Suspended Bridge,104,1/23/23,4/17/23,006f100000d7wv0AAA,1013792
Rwanda - Nyarusange - 1014269,Complete,2021,3,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Nyarusange,-1.894583,29.996602,Kigali,Nyarugenge,Kanyinya,Taba,In Service,4378,Suspended Bridge,132,11/6/20,3/4/21,006f100000eekYUAAY,1014269
Rwanda - Peru - 1013563,Rejected,2019,7,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Peru,-2.304747,29.219334,Western Province,Nyamasheke,Macuba,Gatare,Technical,2955,,,,12/14/18,006f100000d7b66AAA,1013563
Rwanda - Rudehero - 1014134,Rejected,2019,17,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rudehero,-2.37845,29.1393,Western Province,Nyamasheke,Rangiro-Kagano,Jurwe-Gako,Technical,9782,,,,12/31/18,006f100000d1hH3AAI,1014134
Rwanda - Rugarama1 - 1014293,Identified,2025,4,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rugarama1,-2.109614,29.84785,Southern Province,Kamonyi,Nyarubaka,Kigusa/rugarama,,3107,Suspended Bridge,60,,12/30/24,006f100000eekhFAAQ,1014293
Rwanda - Rugeshi - 1013459,Complete,2021,6,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rugeshi,-1.96038,29.54036,Western Province,Ngororero,Bwira - Sovu,Rugeshi  village ( GASHUBI cell ) - Ruganda village ( Kanyana cell ),In Service,,Suspended Bridge,110,2/18/21,5/31/21,006f100000d7PrLAAU,1013459
Rwanda - Ruhabwa - 1014009,Rejected,2019,11,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Ruhabwa,-2.515733,29.04382,Western Province,Nyamasheke,Karengera,Mwezi,Technical,9384,,,,11/5/18,006f100000d1f2JAAQ,1014009
Rwanda - Ruhunde - 1012956,Complete,2023,11,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Ruhunde,-1.77785489,29.67587526,Southern Province,Muhanga,Nyabinoni,Gitwa village (Nyarusozi cell ) - Nyarusange  village (Mbuga cell ),In Service,2851,Suspended Bridge,65,9/12/22,12/6/22,006f100000d6wCDAAY,1012956
Rwanda - Rukombe - 1013452,Rejected,2019,15,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Rukombe,-1.98911,29.60512,Western Province,Ngororero,Ndaro sector,Rutonde village ( Bijyojyo  cell ) - Masoro village ( Kabageshi cell ),Technical,2601,,,,12/31/18,006f100000d7PqSAAU,1013452
Rwanda - Rurongora - 1012816,Complete,2022,9,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rurongora,-2.34152,29.466329,Southern Province,Nyamagabe,Musebeya-kaduha,Nyarurambi,In Service,1962,Suspended Bridge,96,8/9/21,11/12/21,006f100000d6kx0AAA,1012816
Rwanda - Rusayo - 1012004,Under Construction,2023,10,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rusayo,-1.96222,29.461388,Western Province,Rutsiro,Rusebeya-manihira-mushubati,Kabona/byiniro-haniro/rukondo-gitwa/rububa,,2200,Suspended Bridge,108,10/17/22,1/31/23,006f100000cx4bNAAQ,1012004
Rwanda - Rushikiri - 1014330,Prospecting,2023,7,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rushikiri,-1.938207,29.948912,Southern Province,Kamonyi,Rukoma,Murehe,,6120,Suspended Bridge,53,2/6/23,5/30/23,006f100000eesiZAAQ,1014330
Rwanda - Rusumo - 1013737,Prospecting,2023,12,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rusumo,-1.65413,30.01517,Northern Province,Rulindo,Kisaro_Miyove,Sayo_Gakenke,,4340,Suspended Bridge,59,2/16/23,5/12/23,006f100000d7jMtAAI,1013737
Rwanda - Rusuzumiro - 1013349,Prospecting,2023,18,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rusuzumiro,-1.98365945,29.65245312,Southern Province,Muhanga,Mushishiro,Kabeza  village ( Matyazo  cell ) - Rugerero  village ( Rukaragata cell ),,4950,,,4/10/23,6/30/23,006f100000d7EZHAA2,1013349
Rwanda - Rutanzogera - 1007672,Under Construction,2023,11,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rutanzogera,-1.957,29.531833,Western Province,Rutsiro,Rusebeya,Ruronde-gashubi,,3437,Suspended Bridge,82,10/17/22,1/21/23,006f100000a86IOAAY,1007672
Rwanda - Ruyebe - 1013392,Identified,2025,11,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Ruyebe,-1.65549,29.51862,Western Province,Nyabihu,Karago,Karengere-Kadahenda,Requested,2624,,,,12/31/24,006f100000d7GtGAAU,1013392
Rwanda - Ruyenzi - 1007582,Prospecting,2024,15,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Ruyenzi,-2.755722,29.454917,Southern Province,Nyaruguru,Ruheru-Nyabimata,Ruyenzi-Kabere(Ruyenzi-Uwigisura),,4903,Suspended Bridge,88,12/5/23,3/13/24,006f100000a86GwAAI,1007582
Rwanda - Rwabagenzi - 1012952,Complete,2022,10,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rwabagenzi,-2.042163,29.722419,Southern Province,Muhanga,Muhanga,Rwabagenzi -Nyiramarangara (both in Nyamirama cell ),In Service,4514,Suspension Bridge,78,12/2/21,4/30/22,006f100000d6wBtAAI,1012952
Rwanda - Rwangambibi - 1007465,Complete,2022,12,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rwangambibi,-2.343056,29.4325,Southern Province,Nyamagabe,Gatare,Shyeru,In Service,3475,Suspended Bridge,83,8/9/21,11/12/21,006f100000a86F3AAI,1007465
Rwanda - Rwaninka - 1013736,Prospecting,2024,11,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rwaninka,-2.733162,29.520608,Southern Province,Nyaruguru,Munini-Ruheru,Ntwali-Gite,,3580,Suspended Bridge,108,12/5/23,3/20/24,006f100000d7jImAAI,1013736
Rwanda - Rwasa - 1013422,Complete,2022,11,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rwasa,-2.41763333,29.555675,Southern Province,Nyamagabe,Kibumbwe-Kibirizi,Bwenda-Bugarura,In Service,3582,Suspended Bridge,70,8/9/21,11/5/21,006f100000d7JDHAA2,1013422
Rwanda - Rwengezi - 1014104,Complete,2023,1,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rwengezi,-2.587173,29.105957,Western Province,Rusizi,Butare,Rwambogo,In Service,5996,Suspended Bridge,120,6/1/22,9/22/22,006f100000d1fjmAAA,1014104
Rwanda - Rwunga - 1013465,Confirmed,2023,2,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Rwunga,-1.492419,29.573354,Northern Province,Musanze,Musanze~shingiro~kimonyi,Nyarubuye~rwambogo~kibuguzo,,1035,Suspended Bridge,55,2/7/23,5/3/23,006f100000d7Q52AAE,1013465
Rwanda - Shyagari - 1013263,Complete,2023,12,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Shyagari,-2.003951,29.675447,Southern Province,Muhanga,Mushishiro,Kabare village ( Munazi cell) - Nyanza village ( Rwigerero cell ),In Service,2609,Suspended Bridge,80,8/29/22,11/25/22,006f100000d762YAAQ,1013263
Rwanda - Shyira - 1013628,Identified,2025,17,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Shyira,-1.69922,29.63391,Northern Province,Gakenke,Gakenke,Mugunga/rutenderi/nyundo,Requested,4596,,,,12/31/24,006f100000d7iQfAAI,1013628
Rwanda - Sovu - 1013225,Complete,2022,10,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Sovu,-2.510714,29.53571,Southern Province,Nyamagabe,Kamegeri,Kamegeri-Nyamigina,In Service,3540,Suspended Bridge,43,8/9/21,11/8/21,006f100000d75zUAAQ,1013225
Rwanda - Uwumugeti-Kigusa - 1012997,Complete,2021,7,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Uwumugeti-Kigusa,-2.540715,29.503838,Southern Province,Nyamagabe,Tare,Nkumbure-Gatovu,In Service,2762,Suspended Bridge,55,6/20/20,9/22/20,006f100000d6wNyAAI,1012997
