"Individuals Directly Served","Opportunity Name","Bridge Name","Project Code","Span (m)","Power of One","Bridge Type","GPS (Latitude)","GPS (Longitude)","Level 1 Government","B2P Fiscal Year"
"2805","Rwanda - Gitikirema-kigarama - 1012817","Gitikirema-kigarama","1012817","68.0","1","Suspended Bridge","-2.3046740000","29.4725850000","Southern Province","2020"
"2200","Rwanda - Gashyushya - 1012953","Gashyushya","1012953","42.0","1","Suspension Bridge","-2.0121149200","29.7621225900","Southern Province","2020"
"2762","Rwanda - Uwumugeti-Kigusa - 1012997","Uwumugeti-Kigusa","1012997","55.0","1","Suspended Bridge","-2.5407150000","29.5038380000","Southern Province","2020"
"1000","Rwanda - Rufuha - 1017673","Rufuha","1017673","33.7","1","Suspension Bridge","-2.0121670000","29.7638890000","Southern Province","2020"
"2601","Rwanda - Mutiwingoma - 1007481","Mutiwingoma","1007481","120.0","1","Suspension Bridge","-2.3637330000","29.5535300000","Southern Province","2021"
"2790","Rwanda - Nyakabuye - Nkomane - 1007495","Nyakabuye - Nkomane","1007495","78.0","1","Suspension Bridge","-2.2330220000","29.5751300000","Southern Province","2021"
"1820","Rwanda - Karama - 1007400","Karama","1007400","52.0","1","Suspension Bridge","-2.0732229400","29.7150005300","Southern Province","2021"
"1210","Rwanda - Rukurazo Rebuild - 1024518","Rukurazo Rebuild","1024518","115.0","1","Suspension Bridge","-2.1150720000","29.7008430000","Southern Province","2021"
"3542","Rwanda - Ngoma - 1012951","Ngoma","1012951","135.0","1","Suspended Bridge","-2.0493596700","29.7070976300","Southern Province","2021"
"995","Rwanda - Mujerenge - 1007463","Mujerenge","1007463","70.0","1","Suspended Bridge","-2.4519566700","29.4276650000","Southern Province","2022"
"3475","Rwanda - Rwangambibi - 1007465","Rwangambibi","1007465","83.0","1","Suspended Bridge","-2.3430560000","29.4325000000","Southern Province","2022"
"1720","Rwanda - Mugote - 1007477","Mugote","1007477","60.0","1","Suspended Bridge","-2.4477333000","29.4145533300","Southern Province","2022"
"2492","Rwanda - Kibiraro - 1007499","Kibiraro","1007499","80.0","1","Suspended Bridge","-2.2941670000","29.5552240000","Southern Province","2022"
"3292","Rwanda - Kanserege - 1013215","Kanserege","1013215","92.0","1","Suspended Bridge","-2.5265000000","29.5100230000","Southern Province","2022"
"3540","Rwanda - Sovu - 1013225","Sovu","1013225","43.0","1","Suspended Bridge","-2.5107140000","29.5357100000","Southern Province","2022"
"1962","Rwanda - Rurongora - 1012816","Rurongora","1012816","96.0","1","Suspended Bridge","-2.3415200000","29.4663290000","Southern Province","2022"
"3582","Rwanda - Rwasa - 1013422","Rwasa","1013422","70.0","1","Suspended Bridge","-2.4176333300","29.5556750000","Southern Province","2022"
"4509","Rwanda - Sare - 1013806","Sare","1013806","88.0","1","Suspended Bridge","-2.7975000000","29.6979720000","Southern Province","2022"
"4514","Rwanda - Rwabagenzi - 1012952","Rwabagenzi","1012952","78.0","1","Suspension Bridge","-2.0421630000","29.7224190000","Southern Province","2022"
"2764","Rwanda - Kwa Rukeratabaro - 1013256","Kwa Rukeratabaro","1013256","57.0","1","Suspended Bridge","-1.8384720000","29.6842860000","Southern Province","2022"
"2373","Rwanda - Nyaruhombo - 1009280","Nyaruhombo","1009280","127.0","1","Suspended Bridge","-2.4120100000","29.6743900000","Southern Province","2023"
"3581","Rwanda - Bukomeye - Taba - 1007380","Bukomeye - Taba","1007380","116.0","1","Suspension Bridge","-2.6605200000","29.7464400000","Southern Province","2023"
"1967","Rwanda - Cyarera - 1007528","Cyarera","1007528","150.0","1","Suspension Bridge","-2.2924800000","29.6160800000","Southern Province","2023"
"4717","Rwanda - Munanira - 1013583","Munanira","1013583","62.0","1","Suspended Bridge","-2.3963160000","29.5777760000","Southern Province","2023"
"4970","Rwanda - Hanika - 1013350","Hanika","1013350","98.0","1","Suspended Bridge","-1.9771788900","29.6744978700","Southern Province","2023"
"3200","Rwanda - Kamiranzogera - 1012810","Kamiranzogera","1012810","68.0","1","Suspended Bridge","-1.9366200000","29.7347100000","Southern Province","2023"
"2851","Rwanda - Ruhunde - 1012956","Ruhunde","1012956","65.0","1","Suspended Bridge","-1.7778548900","29.6758752600","Southern Province","2023"
"2423","Rwanda - Bunyonga 1 - 1014322","Bunyonga 1","1014322","54.0","1","Suspended Bridge","-1.9349190000","29.8193970000","Southern Province","2023"
"10150","Rwanda - Muza - 1014335","Muza","1014335","68.0","1","Suspended Bridge","-1.9265110000","29.8142640000","Southern Province","2023"
"2609","Rwanda - Shyagari - 1013263","Shyagari","1013263","80.0","1","Suspended Bridge","-2.0039510000","29.6754470000","Southern Province","2023"
"10000","Rwanda - Kamasiga Kibrira - RW902","Kamasiga Kibrira","RW902","30.0","1","Suspended Bridge","-1.9273800000","29.6290860000","Western Province","2012"
"1000","Rwanda - Kamajanga - 1002618","Kamajanga","1002618","35.0","1","Suspended Bridge","-1.7329960000","29.5430250000","Western Province","2013"
